task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	10.864144604971	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	10.232439178722485	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	11.76026548066904	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	10.536139509350923	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	9.648630063317981	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	3	10.712367214268411	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	16.544493085015453	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	3	12.256419321450359	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	10.871154713797411	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	1	8.704464254535722	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	9.344323789755055	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.17634154620184	1229	22	soukrlek	13	ne	akt	ne	prilez	ne	ano	ne	ano	ne
