task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	16.348326533120847	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	8.824466377710037	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.253457492502538	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	9.145266647018012	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.656126546809702	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	12.57487320315852	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.376384847794903	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	2	14.687941204817935	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	8.90456957518344	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	3	9.76824275152284	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.375407069892978	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	8.052056755816771	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	9.62430993324566	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.224331164994478	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	8.528983013204183	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	8.770853977251315	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	8.59502576444768	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	8.109885613953718	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	8.451201619200168	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	8.832474378726875	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	10.312356598394523	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	9.128586594106197	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	9.560344261631022	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	B	2	8.720250897809612	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	B	1	8.080387730842897	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.672426383800186	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	8.225786657242706	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.120257881937514	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.616206389359595	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	2	8.967277545051074	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	8.492705497486366	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	8.445124310491945	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.016422338593353	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	8.776617279570466	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	9.368467361075219	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.584367147221174	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	8.089238576411248	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	2	10.064428160562356	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	B	2	9.080427959419465	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	8.130215572090831	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.704267860859426	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	9.57652983828951	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
mu_zacvik	02_m1_comp_C_dorian,02_m1_comp_C_dorian,up_4_ST_02_m1_comp_C_dorian	A	1	12.316141716335498	35ba	24	zus	18	ano	akt	ano	prilez	ne	ne	ano	ne	fon
