task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	12.864148795445821	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	11.912582325406415	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	14.120419913705435	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	13.032259826318064	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	11.024415533260447	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	2	10.94446347231285	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	11.01626980524107	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	10.312514439683618	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	10.640334316231318	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	10.344228526254401	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	10.120495901012404	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	14.696508215432399	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	10.264538509781058	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	3	11.856490000824842	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	2	10.9684788150416	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	3	11.982776442254593	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	10.472236694890515	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	9.713762084289677	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	2	10.795154272401735	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	11.717415900623852	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	10.407373143790842	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	10.782407400939558	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.919461970723631	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	10.287833649249759	b632	23	zus	3	ano	pas	ne	prilez	ne	ne	ano	ne	ne
