task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	11.323058237847704	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	14.804921156180844	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	2	10.86233264283745	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	1	13.573856034776052	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	10.037501833333131	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	9.744037719879398	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	1	9.126296638258827	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	1	11.44021111621809	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	8.29889874271754	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	2	9.35106123822829	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.746595586869338	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	8.795683110563031	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.764404554211529	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	1	10.730223114947565	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	8.929402340242874	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	11.034559559945748	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	11.046410786844984	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	11.05753510571928	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	9.65312588611217	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.622640726682922	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	2	10.757808464482581	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	8.943462227742684	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	9.232663508908214	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.931497299236588	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	7.87605198426014	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	9.047994228315623	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	1	7.406292000799715	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.112861131791838	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	2	9.525861946142225	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.470317735914565	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	8.199945663486457	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	9.102955403550977	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	8.407584623186999	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	2	9.224349603091003	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	8.919519240573795	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	9.07979100695782	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	1	7.4032005464382955	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	1	8.307404013639129	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	8.696568837659978	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	3	8.462149379321845	1f59	26	zus	12	ne	akt	ne	prilez	ne	ano	ne	ne	ling
