task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	12.7261100223633	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	8.563123385793618	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	10.446534266226585	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	10.895803656609786	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	9.57645133669212	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	1	8.38361565506239	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	9.776363057315736	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	10.528394390907161	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	9.104552533911532	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	9.647809567975866	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.30413376560443	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	15.080375718142768	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.120305653371922	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	7.950867079475005	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	11.208432216943793	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	9.95210438756861	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	2	8.456616832586363	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	11.768489430919269	513b	26	zus	15	ano	akt	ano	prilez	ano	ano	ne	ne	fon
