task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	13.045721593107388	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	3	16.848274710891005	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	1	13.901878451032688	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	11.8403507987765	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	10.184067109087863	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	13.528350530582497	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.36007188064543	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	16.192282678385247	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	12.944344183410047	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	3	11.960282521940464	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	2	17.4643387637255	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	1	9.640315598770865	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	2	20.971137812206983	639f	23	zadne	0	ne	akt	ne	vubec	ne	ne	ne	ne	ne
