task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	11.973675564910621	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	13.464246014507793	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	3	10.112287315846295	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	15.600276431780525	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	2	9.004765829176243	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.504399441828284	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	3	10.655019143495135	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	8.56910040242544	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	8.39766883779996	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.120374377190526	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	9.024287025306458	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.263114027061928	4de8	27	zus	13	ano	akt	ne	vubec	ne	ano	ano	ne	fon
