task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	11.501783466892896	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	2	10.728246048032764	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.488369750903543	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	3	13.072492313967512	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	11.376208568407696	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.423298352166059	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	10.823986149076186	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	10.32016010414693	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	11.112516395241418	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	3	11.280888911860572	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	2	11.465097519378956	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	10.26946706913948	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	9.184683388532747	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	10.67738902570016	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	10.071122586810516	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	10.1748488983917	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	9.621305082069823	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	10.72949508945998	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	2	9.611140661732794	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	2	10.005009435556909	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	10.031066099183779	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	9.662242687267868	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.812303658704597	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.510926807735842	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.424824244421119	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	10.614713462185113	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	2	10.128592460774499	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	3	16.722559291754244	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	10.012807633374054	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	9.68290117878197	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	8.927222174884093	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	2	10.144046100831819	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	9.88557889340708	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.813164382623654	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	9.2241889681494	8c91	25	zadne	0	ne	pas	ne	vubec	ne	ne	ne	ne	ne
