task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	11.005674883260754	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	2	9.448142850557083	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	10.176437368435792	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	9.344285796099356	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.53617806173739	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	3	10.096490894793634	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	B	2	7.826889031984756	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	10.000361917504923	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	2	8.992343300616618	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	3	15.32837399725347	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	9.51257254762704	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.144314570706777	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	2	9.600174742879553	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	3	11.416111125854572	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	3	10.032377718398925	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	9.352091536774053	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	9.952377606652078	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	12.000451593709574	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	9.24428286276705	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	3	11.018669830942844	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	B	3	8.601721866884013	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	3	9.231894416749254	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	9.53618085538905	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.07238224411104	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	10.18407241702475	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	3	9.467548389530762	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	9.47232860600828	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	3	10.261432249071516	9a50	26	zadne	0	ne	pas	ne	pravid	ne	ne	ne	ne	ne
