task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	12.14815388547988	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	2	10.328292143275233	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	3	10.824444587231051	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	10.216112522680913	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	2	8.792839732424104	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	A	1	9.152310838388674	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	11.535186594944427	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.520203964470456	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	1	9.888112455633387	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	2	9.776458600185254	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	3	11.624660257099638	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	9.312273068225244	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.864457493899415	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	3	10.000326438136758	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	9.792475160949305	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	3	10.8161217417297	be3e	24	zus	3	ne	akt	ne	prilez	ne	ne	ano	ne	filog
