task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	3	13.365852224235459	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	3	9.784300378958807	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	3	9.97413009195388	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	1	9.83914617639937	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	14.063905189068176	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	3	11.24819090135817	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	10.12833963534471	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	10.520238605745291	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	B	3	9.856143029351442	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	3	12.456423232562106	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	3	9.656227956346118	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.736457147486078	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	1	10.288261077874148	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	10.144279929433033	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	B	2	8.544559573911634	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	3	9.000323644485404	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	B	3	11.648343155344438	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.560346217186764	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	9.984429166276449	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	9.064415589132986	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	8.205862057886877	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	3	13.312389563477337	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	10.600556634991333	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	3	11.248335891852731	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	10.648506025206276	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	10.10447487041011	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	10.440394379732485	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	2	9.824062695118704	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	3	9.85637937223915	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	9.73655492527637	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	2	10.520234415267865	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	11.504331835470714	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	10.216282097305609	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	8.63782282385004	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	9.208267950256893	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.200428685769072	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.192324862518	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	1	8.792522094288032	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	2	9.696402056686654	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	3	8.621762123398487	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	8.37391861256167	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.9125211444466	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_zacvik	02_m1_comp_C_dorian,02_m1_comp_C_dorian,up_4_ST_02_m1_comp_C_dorian	A	3	13.099769523779893	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_zacvik	0_33_shorter_04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian,04_m1_comp_B_lower_lydian	B	1	13.177262892350793	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	18_m3_comp_C_locrian,18_m3_comp_C_locrian,up_2_ST_18_m3_comp_C_locrian	A	1	13.517057195816207	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	02_m1_comp_C_dorian,02_m1_comp_C_dorian,0_33_longer_02_m1_comp_C_dorian	B	1	12.53833252550341	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,0_25_shorter_13_m3_comp_D_ionian	B	1	13.048098710868864	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	up_2_ST_18_m3_comp_C_locrian,18_m3_comp_C_locrian,18_m3_comp_C_locrian	A	3	17.28876561127102	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,down_3_ST_10_m2_comp_C_lydian	B	2	14.115323735280107	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,0_50_longer_12_m2_comp_B_lower_locrian	B	2	13.740733948029328	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	13_m3_comp_D_ionian,13_m3_comp_D_ionian,down_1_ST_13_m3_comp_D_ionian	B	3	13.929191419579684	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	08_m2_comp_D_dorian,08_m2_comp_D_dorian,up_3_ST_08_m2_comp_D_dorian	B	3	14.832721337487744	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	06_m1_comp_D_locrian,06_m1_comp_D_locrian,0_17_shorter_06_m1_comp_D_locrian	B	1	13.829946124438262	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	0_17_shorter_06_m1_comp_D_locrian,06_m1_comp_D_locrian,06_m1_comp_D_locrian	B	2	14.458008908954085	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,up_1_ST_01_m1_comp_B_lower_ionian	B	1	14.088147376272635	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	0_25_shorter_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	B	3	13.361296617307229	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,0_33_shorter_10_m2_comp_C_lydian	A	2	10.10878854714683	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	down_3_ST_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	B	3	14.15445664183482	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	down_1_ST_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	B	1	12.970218980345194	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	0_33_shorter_10_m2_comp_C_lydian,10_m2_comp_C_lydian,10_m2_comp_C_lydian	A	2	16.448100387061523	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	up_3_ST_08_m2_comp_D_dorian,08_m2_comp_D_dorian,08_m2_comp_D_dorian	A	3	16.22470830789851	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	0_50_longer_12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian	A	2	14.488508874730163	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	up_1_ST_01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian,01_m1_comp_B_lower_ionian	B	3	20.48791438576755	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	0_33_longer_02_m1_comp_C_dorian,02_m1_comp_C_dorian,02_m1_comp_C_dorian	B	3	14.673254701366417	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	down_1_ST_13_m3_comp_D_ionian,13_m3_comp_D_ionian,13_m3_comp_D_ionian	A	3	14.104494705332835	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	0_50_longer_12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian,12_m2_comp_B_lower_locrian	B	1	13.703662756020844	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,down_3_ST_10_m2_comp_C_lydian	B	2	13.666382598904455	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	18_m3_comp_C_locrian,18_m3_comp_C_locrian,up_2_ST_18_m3_comp_C_locrian	A	2	13.410555391816585	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
mu_test	10_m2_comp_C_lydian,10_m2_comp_C_lydian,0_33_shorter_10_m2_comp_C_lydian	B	3	14.59573591056866	3a5d	24	zus	3	ne	akt	ne	prilez	ne	ano	ne	ne	filog
