task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	12.573487552191239	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.597095021853953	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	2	8.750975752507198	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	9.114770871717258	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	9.640096297157925	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.568221519776735	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	10.491646703704198	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	9.186562398293528	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	13.50444972755129	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	9.48131885477262	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	2	9.232240829489157	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	8.535316779086369	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	3	14.016869881509091	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	8.873682409359684	d902	25	zus	6	ne	akt	ne	vubec	ano	ne	ano	ne	ne
