task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	11.173701266502402	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	11.72825303215911	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	13.373554320451193	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	3	11.79987889522274	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	2	12.088480938219565	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	2	10.632132435827113	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	B	3	8.702442489199221	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.73634316652053	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	10.064341278011437	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	9.688403833448058	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	1	10.664304401816644	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	10.344317923088308	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	2	9.440620665475066	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	3	10.608179670880197	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.471029278861675	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.144354799283173	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	13.064445760565164	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	2	10.104384635476634	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	10.408275213748633	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	B	2	9.528297171847374	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.928303317879548	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	10.99260059588564	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	11.328405006782255	ce5d	21	zus	11	ne	pas	ne	prilez	ano	ne	ne	ano	ling
