task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	10.700909892178798	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	2	10.936336461757673	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	3	13.974246028475477	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	8.675356644490476	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	3	11.416431557642735	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	9.160324985437766	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	8.432491419998119	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	8.96024005844243	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	3	10.448158215638529	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	8.92842456233885	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	8.864335690708924	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	9.128336841694289	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	3	11.49645401859744	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	2	10.216408090972143	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.407939696245771	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.000220000028286	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	2	8.469747551713462	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	9.192151656145814	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	2	9.049684945991666	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.512209931709723	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	3	12.248056247372762	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	A	3	10.784427490086461	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	3	9.672164059957126	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	8.199716584090828	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	9.60839198836657	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	9.76038672512762	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	1	8.489550906610095	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	B	3	9.935815445818015	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.11229429997455	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	8.592963491170622	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	B	3	9.407572610485559	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	A	2	10.288428976307666	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	3	10.32836617503038	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	9.768504796000796	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	2	9.264426205007059	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	8.490065497150994	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	9.264303563721509	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	8.819127710365596	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	8.496980342473634	bffc	26	zadne	0	ne	akt	ne	profes	ne	ne	ne	ne	filog
