task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	9.688136201668026	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	8.477927641641568	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	3	12.032346988234519	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.218410300750422	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	A	3	12.76854558330741	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.456322381755141	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	3	10.824597679313971	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	9.128330136930869	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	3	9.559756198064227	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	1	9.144456767549997	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	2	9.432372131094796	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.696383059858103	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	1	9.120441704183168	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.552115003443218	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	B	2	8.753490876633787	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	B	3	9.584640925033822	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	9.832329108867173	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	9.144521859621726	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	9.528451102025596	fd41	29	zus	22	ano	akt	ano	vubec	ne	ano	ne	ano	fon
