task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	2	13.693830780168984	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.440471205139195	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	2	10.21379490968827	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.13633199191517	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.688277001685954	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	9.296207618566063	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	3	12.168156707067512	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	1	9.94438552944578	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	10.136363839538246	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	2	9.968260630890258	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	2	11.824387876112736	0bdd	28	zadne	0	ne	pas	ne	prilez	ne	ne	ano	ne	fon
