task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	B	1	9.420136497795427	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	2	9.680318168929903	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	9.416550287816353	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	2	9.080259781620889	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	A	3	14.504079848137813	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	2	9.072425545704945	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	11.176545482735893	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.472457393327144	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	11.584438664690072	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	2	9.96825839596896	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	2	9.320419075609255	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	3	13.608015962922444	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	2	9.416318694136029	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	3	9.272304301245526	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	9.432243064412383	07d2	24	zus	3	ano	pas	ne	pravid	ne	ne	ano	ne	ne
