task	stimulus	response	goodness	reactionTime	jmen	vek	vzdel	del_vzdel	hud_tel	posl	hud_akt	tanec	strun	klav	dech	perk	vs_jaz
sp_zacvik	07-X-X-láká_,07-X-X-láká_,30_07-X-X-láká_-0.7	A	1	13.606056496007003	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_zacvik	up_4_ST_09-X-X-známá,09-X-X-známá,09-X-X-známá	B	1	9.69636238683935	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	A	2	11.542222684726287	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	A	2	14.848188387071202	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	B	3	16.216405297321117	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	10.440300792419057	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	A	3	12.416479887806833	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	1	11.328492448062896	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,30_06-X-mláďata-X-0.7	A	1	11.392245802189848	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	3	13.080408683226064	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	40_14-X-rajčata-X_-1.4,14-X-rajčata-X_,14-X-rajčata-X_	A	3	13.016203595708589	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	08-X-X-vláda_,08-X-X-vláda_,down_3_ST_08-X-X-vláda_	A	1	10.032271280288846	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	11.16041689656096	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	1	9.17642172398977	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	11.240270341621574	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	9.544359827855335	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	20_09-X-X-známá-0.8,09-X-X-známá,09-X-X-známá	B	1	11.096425523355787	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,up_3_ST_14-X-rajčata-X_	A	1	9.40796986767904	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	10.296210412216872	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	14-X-rajčata-X_,14-X-rajčata-X_,40_14-X-rajčata-X_-1.4	A	2	11.144180475451943	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	10.4081341343663	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	3	12.088408862020408	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	100_13-X-armáda-X_-2,13-X-armáda-X_,13-X-armáda-X_	B	3	12.184349267854076	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	40_10-začala-X-X-1.4,10-začala-X-X,10-začala-X-X	A	3	12.504371505317055	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	down_4_ST_06-X-mláďata-X,06-X-mláďata-X,06-X-mláďata-X	B	1	9.232371572364759	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	10-začala-X-X,10-začala-X-X,40_10-začala-X-X-1.4	A	2	9.208566312199274	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	09-X-X-známá,09-X-X-známá,20_09-X-X-známá-0.8	A	1	10.176399933511142	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	30_06-X-mláďata-X-0.7,06-X-mláďata-X,06-X-mláďata-X	B	1	9.976359146204581	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	down_3_ST_08-X-X-vláda_,08-X-X-vláda_,08-X-X-vláda_	B	2	9.864403576432654	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	up_3_ST_16-X-X-radar,16-X-X-radar,16-X-X-radar	B	1	8.560506014032669	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	13-X-armáda-X_,13-X-armáda-X_,100_13-X-armáda-X_-2	A	3	13.040448297200225	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	06-X-mláďata-X,06-X-mláďata-X,down_4_ST_06-X-mláďata-X	A	2	10.184556836134213	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	16-X-X-radar,16-X-X-radar,up_3_ST_16-X-X-radar	A	1	9.152343524107408	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	03-mávátka-X-X,03-mávátka-X-X,down_4_ST_03-mávátka-X-X	A	2	8.52050372323821	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	down_4_ST_03-mávátka-X-X,03-mávátka-X-X,03-mávátka-X-X	B	3	12.752505276508582	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
sp_test	up_3_ST_14-X-rajčata-X_,14-X-rajčata-X_,14-X-rajčata-X_	B	1	12.176353838266714	0f2c	21	zus	8	ano	akt	ano	vubec	ano	ne	ne	ne	fon
